Search Term,Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,CPC,Keyword Regs,Keyword CPA,Keyword Status
beauty salon essentials,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,1,1,8.13,8.13,7,140.77,Converting KW
how to start amazon wholesale business,"""amazon business account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,4,1,8.13,8.13,8,275.85,Converting KW
hospitality amenities suppliers,"""hospitality supplies""",Phrase match,AU_Generic_P-V_Hospitality,Hospitality_Phrase,1,1,8.13,8.13,0,,Zero-Reg KW
bulk laundry sanitizer,"""bulk cleaning""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Products_Bulk_Phrase,1,1,8.13,8.13,0,,Zero-Reg KW
wholesale pepsi max,"""wholesale soft drinks""",Phrase match (close variant),AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,4,1,8.12,8.12,2,163.72,Converting KW
wholesale snacks australia,"""foods wholesalers""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Wholesalers_Phrase,6,2,8.12,4.06,2,370.08,Converting KW
wholesale food suppliers to the public near me,"""foods wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,21,2,8.12,4.06,2,370.08,Converting KW
bulk gloves,"""wholesale gloves""",Exact match (close variant),AU_Generic_P-V_Apparel,Accessories_Wholesales_Phrase,20,1,8.11,8.11,0,,Zero-Reg KW
kapda wholesale,"""wholesale items""",Phrase match (close variant),AU_Generic,Wholesales_Products_Phrase,1,1,8.11,8.11,0,,Zero-Reg KW
ghd hair straightener wholesale,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,1,1,8.11,8.11,7,140.77,Converting KW
bulk usb flash drive,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,8.11,8.11,0,,Zero-Reg KW
beauty warehouses,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,1,1,8.11,8.11,7,140.77,Converting KW
wholesale sydney,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,2,1,8.11,8.11,0,,Zero-Reg KW
packing tape bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,2,1,8.11,8.11,0,,Zero-Reg KW
melbourne clothing wholesalers,"""clothing wholesalers""",Phrase match,AU_Generic_P-V_Shops,Wholesale_Clothing,1,1,8.11,8.11,0,,Zero-Reg KW
hat manufacturers,"""headwear suppliers""",Phrase match (close variant),AU_Generic_P-V_Apparel,Accessories_Suppliers_Phrase,3,1,8.11,8.11,0,,Zero-Reg KW
wholesale soft drink,[bulk soft drinks],Exact match (close variant),AU_Generic_P-V_Food,Drinks_Bulk_Exact,1,1,8.1,8.1,1,52.94,Converting KW
kogan wholesale,"""wholesale other""",Phrase match (close variant),AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,4,1,8.1,8.1,0,,Zero-Reg KW
bulk box packaging,"""purchasing bulk""",Phrase match (close variant),AU_Generic,Bulk_Buy_Phrase,1,1,8.1,8.1,0,,Zero-Reg KW
bulk soap bars australia,"""bulk soap""",Phrase match,AU_Generic_P-V_Janitorial,Soap_Bulk_Phrase,13,1,8.1,8.1,0,,Zero-Reg KW
hair salon equipments,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,4,1,8.1,8.1,7,140.77,Converting KW
bulk matchboxes,"""bulk goods""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,3,1,8.1,8.1,0,,Zero-Reg KW
create business cards,[business cards],Exact match (close variant),AU_Generic,Office Supplies_Exact,4,1,8.1,8.1,0,,Zero-Reg KW
indiamart wholesale products,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,3,1,8.09,8.09,0,,Zero-Reg KW
jam jars wholesale australia,"""wholesale glassware""",Phrase match (close variant),AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,2,1,8.09,8.09,4,157.35,Converting KW
buy bulk legumes,"""bulk goods""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,2,1,8.09,8.09,0,,Zero-Reg KW
12 cupcake box bulk,"""bulk cupcake boxes""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,1,1,8.09,8.09,0,,Zero-Reg KW
promotional products tape measure,"""accessories for companies""",Phrase match (close variant),AU_Generic,Enterprises_Phrase,1,1,8.09,8.09,0,,Zero-Reg KW
300ml glass jars with lids wholesale,"""wholesale glassware""",Phrase match (close variant),AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,2,1,8.09,8.09,4,157.35,Converting KW
watch wholesaler,"""wholesaler traders""",Phrase match (close variant),AU_Generic,Wholesalers_Enterprises_Phrase,1,1,8.08,8.08,0,,Zero-Reg KW
wholesale cafe supplies,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,2,1,8.08,8.08,0,,Zero-Reg KW
isocol bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,2,1,8.08,8.08,0,,Zero-Reg KW
bulk soap,[bulk soap],Exact match,AU_Generic_P-V_Janitorial,Soap_Bulk_Exact,10,1,8.08,8.08,0,,Zero-Reg KW
wholesale hair supplies near me,"""cosmetic salon wholesaler""",Phrase match (close variant),AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,6,1,8.07,8.07,0,,Zero-Reg KW
refurbished iphone wholesale,"""wholesale mobile phone""",Phrase match (close variant),AU_Generic_P-V_Electronics,Cell-Phones_Wholesale_Phrase,4,1,8.07,8.07,0,,Zero-Reg KW
bulk buy groceries online australia,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,8.07,8.07,0,,Zero-Reg KW
hand towels wholesale,"""purchasing in bulk""",Phrase match (close variant),AU_Generic,Bulk_Buy_Phrase,1,1,8.07,8.07,0,,Zero-Reg KW
lollipop bulk buy,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,3,1,8.07,8.07,0,,Zero-Reg KW
magazines in bulk,"""bulk goods""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,8.07,8.07,0,,Zero-Reg KW
buy bulk t shirts,"""shirts distributors""",Phrase match (close variant),AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,5,2,8.07,4.04,0,,Zero-Reg KW
hospitality chairs,"""hospitality supplies""",Phrase match (close variant),AU_Generic_P-V_Hospitality,Hospitality_Phrase,2,1,8.07,8.07,0,,Zero-Reg KW
caster sugar bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,3,1,8.07,8.07,0,,Zero-Reg KW
plastic container bulk,"""bulk packaging""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,8.06,8.06,0,,Zero-Reg KW
wholesale korean skincare,"""skin care products suppliers""",Phrase match (close variant),AU_Generic_P-V_Beauty,Skin-Care_Supplier_Phrase,4,2,8.06,4.03,1,42.02,Converting KW
industrial steam cleaning machine,"""industrial cleaning products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,3,1,8.06,8.06,0,,Zero-Reg KW
cheap wholesale lashes,"""false eyelashes suppliers""",Phrase match (close variant),AU_Generic_P-V_Beauty,Makeup_Supplier_Phrase,1,1,8.06,8.06,2,112.5,Converting KW
epsom salt buy bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,2,8.06,4.03,0,,Zero-Reg KW
soft drink wholesale,[bulk soft drinks],Exact match (close variant),AU_Generic_P-V_Food,Drinks_Bulk_Exact,5,1,8.06,8.06,1,52.94,Converting KW
wholesale suppliers for small business,"""bulk for shop""",Phrase match (close variant),AU_Generic_P-V_Shops,Bulk_Phrase,5,1,8.06,8.06,0,,Zero-Reg KW
wholesale beauty supplies near me,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,16,1,8.06,8.06,7,140.77,Converting KW
drink wholesalers near me,"""drinks wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,1,1,8.05,8.05,0,,Zero-Reg KW
canned beans bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,8.05,8.05,0,,Zero-Reg KW
amazon prime for business,[amazon business prime account],Exact match (close variant),AU_Brand_Exact,Prime_Exact,2,1,8.05,8.05,0,,Zero-Reg KW
protein wholesale supplier,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,8.05,8.05,0,,Zero-Reg KW
wholesale toys,[toy wholesalers],Exact match (close variant),AU_Generic_P-V_Shops,Toys Shop_Wholesale,1,1,8.04,8.04,0,,Zero-Reg KW
shewin wholesale,"""wholesale casual""",Phrase match (close variant),AU_Generic_P-V_Apparel,Dresses_Wholesales_Phrase,2,1,8.04,8.04,0,,Zero-Reg KW
wholesale butter,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,5,1,8.04,8.04,0,,Zero-Reg KW
branded conference giveaways,"""accessories for companies""",Phrase match (close variant),AU_Generic,Enterprises_Phrase,1,1,8.04,8.04,0,,Zero-Reg KW
bulk buy foods,"""purchasing bulk""",Phrase match (close variant),AU_Generic,Bulk_Buy_Phrase,1,1,8.04,8.04,0,,Zero-Reg KW
bulk buy hoodies,"""purchasing in bulk""",Phrase match (close variant),AU_Generic,Bulk_Buy_Phrase,4,1,8.04,8.04,0,,Zero-Reg KW
wholesale hosiery online,"""wholesale items""",Phrase match (close variant),AU_Generic,Wholesales_Products_Phrase,1,1,8.04,8.04,0,,Zero-Reg KW
cheap champagne glasses bulk,"""bulk cocktail glasses""",Phrase match (close variant),AU_Generic_P-V_Food,Glassware_Bulk_Phrase,1,1,8.04,8.04,1,21.67,Converting KW
how to open a business account with amazon,[amazon business open account],Exact match (close variant),AU_Brand_Exact,Account_Exact,2,2,8.04,4.02,2,30.64,Converting KW
nail polish bulk,[wholesale nail polish],Exact match (close variant),AU_Generic_P-V_Beauty,Nail-Care_Wholesale_Exact,1,1,8.03,8.03,0,,Zero-Reg KW
amazon business for sale,"""business amazon""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,7,1,8.03,8.03,23,111.21,Converting KW
bulk dental floss,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,8.03,8.03,0,,Zero-Reg KW
what does amazon business account do,[amazon business benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,3,1,8.03,8.03,2,127.35,Converting KW
iget wholesale australia,"""wholesale products""",Phrase match (close variant),AU_Generic,Wholesales_Products_Phrase,4,1,8.03,8.03,0,,Zero-Reg KW
wholesale activewear,[wholesale sportswear],Exact match (close variant),AU_Generic_P-V_Apparel,Sportware_Wholesales_Exact,2,1,8.03,8.03,0,,Zero-Reg KW
salon professional supplies,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,29,1,8.02,8.02,7,140.77,Converting KW
where to buy wholesale electrical supplies,"""wholesaler traders""",Phrase match (close variant),AU_Generic,Wholesalers_Enterprises_Phrase,1,1,8.02,8.02,0,,Zero-Reg KW
wholesale art suppliers australia,"""wholesaler traders""",Phrase match (close variant),AU_Generic,Wholesalers_Enterprises_Phrase,1,1,8.02,8.02,0,,Zero-Reg KW
cleaning products wholesale,[bulk cleaning],Exact match (close variant),AU_Generic_P-V_Janitorial,Products_Bulk_Exact,8,2,8.02,4.01,0,,Zero-Reg KW
shampoo bulk,[bulk shampoo],Exact match (close variant),AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Exact,2,1,8.02,8.02,1,21.27,Converting KW
food service distributors,"""distributor companies""",Phrase match (close variant),AU_Generic,Distributors_Enterprises_Phrase,1,1,8.02,8.02,0,,Zero-Reg KW
shine degreaser,"""cleaning buy""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Purchasing_Phrase,2,2,8.01,4.01,0,,Zero-Reg KW
tissue paper bulk buy,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,1,1,8.01,8.01,0,,Zero-Reg KW
buy coke in bulk,"""bulk drinks""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Bulk_Phrase,3,2,8.01,4.01,1,393.9,Converting KW
wholesale t shirts,"""t-shirts suppliers""",Phrase match (close variant),AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,17,2,8.01,4.01,0,,Zero-Reg KW
stubby holder bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,2,1,8.01,8.01,0,,Zero-Reg KW
mason jars wholesale,"""wholesale glassware""",Phrase match (close variant),AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,5,1,8.01,8.01,4,157.35,Converting KW
tissue paper bulk buy,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,1,1,8.01,8.01,0,,Zero-Reg KW
commercial equipment near me,"""equipment and supply""",Phrase match (close variant),AU_Generic,Procurement_Products_Phrase,3,1,8.01,8.01,0,,Zero-Reg KW
saas for sale,"""companies business""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,1,1,8.01,8.01,0,,Zero-Reg KW
best online store platforms,"""online shop for companies""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,3,1,8.01,8.01,0,,Zero-Reg KW
industrial floor cleaning machine,"""buy janitorial""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Purchasing_Phrase,2,1,8.01,8.01,0,,Zero-Reg KW
wholesale bulk dog food australia,"""bulk pet supplies""",Phrase match (close variant),AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,25,2,8.0,4.0,0,,Zero-Reg KW
wholesale food order,[foods wholesalers],Exact match (close variant),AU_Generic_P-V_Food,Food_Wholesalers_Exact,1,1,8.0,8.0,0,,Zero-Reg KW
wholesale grocery,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,4,1,8.0,8.0,0,,Zero-Reg KW
safety glasses,"""eye protection safety""",Phrase match (close variant),AU_Generic_P-V_Safety,Equipment-Gear_Phrase,8,1,8.0,8.0,0,,Zero-Reg KW
bulk rain gauges,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,8.0,8.0,0,,Zero-Reg KW
nike socks bulk cheap,"""socks distributors""",Phrase match (close variant),AU_Generic_P-V_Apparel,Hosiery & Socks_Distributors_Phrase,2,2,8.0,4.0,0,,Zero-Reg KW
commercial broom,[industrial brooms],Exact match (close variant),AU_Generic_P-V_Janitorial,Industrial-Chemicals_Exact,7,1,8.0,8.0,0,,Zero-Reg KW
bulk body wash,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,16,1,8.0,8.0,0,,Zero-Reg KW
wholesale perth,"""bulk for shop""",Phrase match (close variant),AU_Generic_P-V_Shops,Bulk_Phrase,4,1,8.0,8.0,0,,Zero-Reg KW
wedding plates bulk,"""bulk plates""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,2,2,8.0,4.0,0,,Zero-Reg KW
bunnings peerless jal,"""buy janitorial""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Purchasing_Phrase,1,1,8.0,8.0,0,,Zero-Reg KW
equipment for hair salon,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,3,1,8.0,8.0,7,140.77,Converting KW
deodorant bulk,[bulk deodorants],Exact match (close variant),AU_Generic_P-V_Beauty,Skin-Care_Bulk_Exact,3,1,8.0,8.0,0,,Zero-Reg KW
bulk alcohol suppliers,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,7.99,7.99,0,,Zero-Reg KW
wholesale barber supply,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,2,1,7.99,7.99,7,140.77,Converting KW
bulk buy takeaway containers,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,2,1,7.99,7.99,0,,Zero-Reg KW
cheap notebooks bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,7.99,7.99,0,,Zero-Reg KW
microfibre cloths bulk,"""bulk cleaning supplies""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Supply_Bulk_Phrase,6,1,7.99,7.99,0,,Zero-Reg KW
eva foam wholesale,"""wholesale goods""",Phrase match (close variant),AU_Generic,Wholesales_Products_Phrase,1,1,7.99,7.99,0,,Zero-Reg KW
ecostore bulk buy,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,7.98,7.98,0,,Zero-Reg KW
modest clothing wholesale,"""clothing wholesalers""",Phrase match,AU_Generic_P-V_Shops,Wholesale_Clothing,2,1,7.98,7.98,0,,Zero-Reg KW
reinol hand cleaner,"""cleaning products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Products_Phrase,14,2,7.98,3.99,0,,Zero-Reg KW
bulk halloumi,"""bulk fresh foods""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Bulk_Phrase,1,1,7.98,7.98,1,231.44,Converting KW
boho wholesale clothing suppliers,"""wholesale goods""",Phrase match (close variant),AU_Generic,Wholesales_Products_Phrase,1,1,7.98,7.98,0,,Zero-Reg KW
bulk sticky notes,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,2,1,7.97,7.97,0,,Zero-Reg KW
amazon transport partner,"""business amazon""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,2,1,7.97,7.97,23,111.21,Converting KW
industrial scale,"""industrial equipment""",Phrase match (close variant),AU_Generic_P-V_Industry,Products_Phrase,2,2,7.97,3.99,0,,Zero-Reg KW
wholesale products,"""wholesale other""",Phrase match (close variant),AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,5,1,7.97,7.97,0,,Zero-Reg KW
hand towels bulk,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,5,1,7.97,7.97,0,,Zero-Reg KW
hand towels bulk,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,5,1,7.97,7.97,0,,Zero-Reg KW
buy bulk soap bars,"""bulk soap""",Exact match (close variant),AU_Generic_P-V_Janitorial,Soap_Bulk_Phrase,2,1,7.97,7.97,0,,Zero-Reg KW
karma salon furniture,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,3,1,7.96,7.96,7,140.77,Converting KW
bulk sales online,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,1,1,7.96,7.96,0,,Zero-Reg KW
french fries bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,7.96,7.96,0,,Zero-Reg KW
bulk salt and pepper shakers,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,2,1,7.96,7.96,0,,Zero-Reg KW
market stall display stands australia,"""store fittings""",Phrase match (close variant),AU_Generic_P-V_Shops,Furniture_Phrase,12,2,7.96,3.98,0,,Zero-Reg KW
world best suppliers,"""wholesale goods""",Phrase match (close variant),AU_Generic,Wholesales_Products_Phrase,1,1,7.96,7.96,0,,Zero-Reg KW
commercial kitchen cleaning equipment,"""industrial cleaning products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,1,1,7.96,7.96,0,,Zero-Reg KW
clothing wholesale suppliers,[clothing wholesalers],Exact match (close variant),AU_Generic_P-V_Shops,Wholesale_Clothing,6,1,7.95,7.95,0,,Zero-Reg KW
cleaning supplies for business,[buy janitorial],Exact match (close variant),AU_Generic_P-V_Janitorial,Purchasing_Exact,1,1,7.95,7.95,0,,Zero-Reg KW
alibaba wholesale,"""bulk seller""",Phrase match (close variant),AU_Generic,Bulk_Sellers_Phrase,7,1,7.95,7.95,0,,Zero-Reg KW
mini pencils bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,7.95,7.95,0,,Zero-Reg KW
wholesale takeaway food containers,"""bulk take out boxes""",Exact match (close variant),AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,1,1,7.95,7.95,3,203.15,Converting KW
wholesale drinks sydney,"""drinks wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,4,2,7.95,3.98,0,,Zero-Reg KW
commercial food distributors,[foods wholesalers],Exact match (close variant),AU_Generic_P-V_Food,Food_Wholesalers_Exact,1,1,7.95,7.95,0,,Zero-Reg KW
cleaning suppliers near me,"""buy janitorial""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Purchasing_Phrase,6,2,7.95,3.98,0,,Zero-Reg KW
buy company,"""companies business""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,4,1,7.94,7.94,0,,Zero-Reg KW
k18 wholesale australia,"""cosmetics wholesaler""",Phrase match (close variant),AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,13,2,7.94,3.97,2,234.8,Converting KW
commercial espresso machine,[commercial espresso machines],Exact match (close variant),AU_Generic_P-V_Food,Coffee Machines_Exact,4,1,7.94,7.94,0,,Zero-Reg KW
wholesale toiletries for hotels,"""hotel amenities bulk""",Exact match (close variant),AU_Generic_P-V_Hospitality,Generic_Bulk_Phrase,1,1,7.94,7.94,0,,Zero-Reg KW
sell pdfs on amazon,"""amazon business information""",Phrase match (close variant),AU_Brand_Phrase,Navigation_Phrase,2,1,7.94,7.94,3,224.6,Converting KW
ultra swab floor cleaner,"""cleaning products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Products_Phrase,3,2,7.94,3.97,0,,Zero-Reg KW
start amazon business with no money,"""amazon business account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,1,1,7.94,7.94,8,275.85,Converting KW
release all surface cleaner,"""cleaning products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Products_Phrase,3,2,7.93,3.97,0,,Zero-Reg KW
buy bulk chairs,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,7.93,7.93,0,,Zero-Reg KW
wholesale hair supplies sydney,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,8,1,7.93,7.93,7,140.77,Converting KW
bulk peanuts,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,8,1,7.93,7.93,0,,Zero-Reg KW
paper carry bags wholesale near me,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,6,1,7.93,7.93,0,,Zero-Reg KW
sme phone,"""cell phone for business""",Phrase match (close variant),AU_Generic_P-V_Electronics,Cell-Phones_Phrase,28,2,7.93,3.97,1,142.15,Converting KW
paper carry bags wholesale near me,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,6,1,7.93,7.93,0,,Zero-Reg KW
where to buy ribbon in bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,7.93,7.93,0,,Zero-Reg KW
cheap journals in bulk,"""buy bulk""",Phrase match (close variant),AU_Generic,Bulk_Buy_Phrase,1,1,7.92,7.92,0,,Zero-Reg KW
bulk food wheat berries,"""bulk fresh foods""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Bulk_Phrase,1,1,7.92,7.92,1,231.44,Converting KW
bulk dried beans australia,"""products in large quantities""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,4,2,7.92,3.96,0,,Zero-Reg KW
hairdresser supplies online,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,4,1,7.92,7.92,7,140.77,Converting KW
blank totes bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,3,1,7.92,7.92,0,,Zero-Reg KW
wholesale denim hats,"""hats wholesale""",Phrase match,AU_Generic_P-V_Apparel,Outerwear_Wholesales_Phrase,2,1,7.91,7.91,0,,Zero-Reg KW
bulk meat suppliers,"""butcher wholesale""",Exact match (close variant),AU_Generic_P-V_Food,Wholesales_Food_Phrase,1,1,7.91,7.91,0,,Zero-Reg KW
echo show for business,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,1,1,7.9,7.9,15,116.42,Converting KW
wholesale printing paper suppliers near me,"""paper wholesale""",Phrase match,AU_Generic_P-V_Office,Paper_Wholesale_Phrase,2,2,7.9,3.95,0,,Zero-Reg KW
buy cleaning chemicals,"""buy janitorial""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Purchasing_Phrase,3,2,7.9,3.95,0,,Zero-Reg KW
bulk order toilet paper,"""wholesale toilet paper""",Exact match (close variant),AU_Generic_P-V_Janitorial,Paper_Wholesale_Phrase,2,1,7.9,7.9,0,,Zero-Reg KW
wet wipes wholesale,"""bulk wipes""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Tools_Bulk_Phrase,3,1,7.9,7.9,0,,Zero-Reg KW
wholesale event supplies australia,"""bulk party""",Phrase match (close variant),AU_Generic_P-V_Celebrations,Party_Bulk_Phrase,4,2,7.9,3.95,3,100.26,Converting KW
guest amenities suppliers,"""hotel equipment""",Phrase match (close variant),AU_Generic_P-V_Hospitality,Products_Phrase,3,1,7.9,7.9,0,,Zero-Reg KW
bulk sticker packs,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,1,7.89,7.89,0,,Zero-Reg KW
wholesale claw clips australia,"""hair wholesale""",Phrase match (close variant),AU_Generic_P-V_Beauty,Hair-Appliances_Wholesale_Phrase,1,1,7.89,7.89,1,219.62,Converting KW
bulk cooking oil,"""bulk oils""",Phrase match,AU_Generic_P-V_Food,Condiments_Bulk_Phrase,15,2,7.89,3.95,1,168.1,Converting KW
wholesale clothing suppliers,[clothing bulk],Exact match (close variant),AU_Generic_P-V_Shops,Clothing_Bulk_Exact,28,1,7.89,7.89,0,,Zero-Reg KW
hair salon suppliers near me,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,3,1,7.88,7.88,7,140.77,Converting KW
wholesale hospitality supplies,"""hospitality supplies""",Phrase match,AU_Generic_P-V_Hospitality,Hospitality_Phrase,4,1,7.88,7.88,0,,Zero-Reg KW
bulk buy pasta,[pasta wholesalers],Exact match (close variant),AU_Generic_P-V_Food,Food_Wholesalers_Exact,2,1,7.88,7.88,0,,Zero-Reg KW
blank fishing shirts wholesale,"""wholesale casual""",Phrase match (close variant),AU_Generic_P-V_Apparel,Dresses_Wholesales_Phrase,3,2,7.88,3.94,0,,Zero-Reg KW
cerave wholesale,"""skin care products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Skin-Care_Distributors_Phrase,1,1,7.88,7.88,1,79.89,Converting KW
dr bronners wholesale,"""soap supplier""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Soap_Supplier_Phrase,1,1,7.88,7.88,0,,Zero-Reg KW
amazon service delivery partner,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,2,1,7.87,7.87,15,116.42,Converting KW
hair dresser equipment,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,7,1,7.87,7.87,7,140.77,Converting KW
